account_id,cust_identifier,account_type,balance,currency,open_date,branch,status,interest_rate,overdraft,last_txn_date,risk_flag
ACC00023,CUST0151,Loan,100600,INR,2024-05-05,Pune,Active,6.54,False,2024-02-11,High
ACC00024,CUST0163,Savings,257439,INR,2020-02-21,Delhi,Closed,6.99,True,2022-03-18,Medium
ACC00025,CUST0164,Savings,494463,INR,2020-04-16,Mumbai,Closed,8.45,True,2020-02-11,High
ACC00026,CUST0142,Loan,472511,INR,2023-04-22,Delhi,Active,3.93,False,2022-03-21,High
ACC00027,CUST0001,Current,256030,INR,2021-04-29,Mumbai,Closed,6.06,True,2024-09-10,High
ACC00028,CUST0117,Loan,59485,INR,2021-09-06,Pune,Active,3.28,False,2020-02-28,Low
ACC00029,CUST0047,Savings,214665,INR,2024-09-13,Pune,Closed,7.51,True,2021-08-05,Low
ACC00030,CUST0152,Savings,323138,INR,2024-12-07,Delhi,Active,5.22,True,2022-08-16,Medium
ACC00031,CUST0068,Savings,451269,INR,2020-10-29,Delhi,Closed,3.28,True,2020-06-28,Low
ACC00032,CUST0108,Loan,325868,INR,2022-06-26,Delhi,Closed,4.31,False,2024-04-25,High
ACC00033,CUST0095,Savings,432193,INR,2024-02-13,Mumbai,Closed,4.44,False,2020-10-08,Medium
ACC00034,CUST0035,Savings,392681,INR,2024-11-27,Mumbai,Closed,8.28,True,2024-03-23,Medium
ACC00035,CUST0082,Savings,90621,INR,2020-07-30,Mumbai,Closed,4.85,False,2022-04-24,Medium
ACC00036,CUST0048,Current,7812,INR,2024-10-06,Delhi,Active,6.51,False,2023-01-04,Medium
ACC00037,CUST0144,Savings,125700,INR,2021-11-28,Mumbai,Active,3.5,False,2022-05-23,High
ACC00038,CUST0048,Savings,92833,INR,2023-03-06,Delhi,Closed,4.51,False,2020-05-25,Low
ACC00039,CUST0070,Current,81031,INR,2020-11-19,Pune,Closed,5.66,False,2024-01-26,Low
ACC00040,CUST0191,Savings,238799,INR,2024-06-08,Pune,Active,7.51,False,2021-01-02,Medium
ACC00041,CUST0117,Loan,284923,INR,2022-05-19,Mumbai,Closed,4.47,False,2024-05-01,Medium
ACC00042,CUST0138,Current,453538,INR,2022-12-26,Delhi,Closed,6.79,True,2021-05-06,High
ACC00043,CUST0170,Loan,247149,INR,2021-09-27,Mumbai,Closed,4.63,False,2021-04-07,High
ACC00044,CUST0218,Current,194743,INR,2023-10-19,Mumbai,Active,7.65,False,2021-09-05,Medium
ACC00045,CUST0184,Current,70719,INR,2020-07-23,Mumbai,Active,8.15,False,2022-12-04,Medium
ACC00046,CUST0186,Loan,412491,INR,2022-01-15,Mumbai,Active,7.97,False,2023-09-25,Low
ACC00047,CUST0133,Loan,410107,INR,2022-06-17,Mumbai,Closed,6.15,False,2021-06-16,High
ACC00048,CUST0198,Loan,299094,INR,2022-09-06,Pune,Closed,3.13,True,2020-08-05,Low
ACC00049,CUST0085,Current,27120,INR,2020-02-29,Pune,Active,4.66,False,2024-09-01,Low
ACC00050,CUST0154,Savings,472814,INR,2021-06-25,Delhi,Active,4.73,True,2023-01-11,High
ACC00051,CUST0065,Current,319299,INR,2024-09-15,Mumbai,Active,7.67,True,2022-06-27,Low
ACC00052,CUST0157,Current,337828,INR,2020-08-20,Delhi,Active,5.64,False,2024-01-25,Low
ACC00053,CUST0069,Current,157882,INR,2023-08-05,Mumbai,Closed,6.08,False,2022-07-12,Medium
ACC00054,CUST0057,Current,155960,INR,2023-06-11,Pune,Active,6.73,False,2021-04-22,Low
ACC00055,CUST0085,Savings,373496,INR,2021-05-18,Pune,Closed,5.45,True,2021-09-22,Low
ACC00056,CUST0111,Savings,481367,INR,2020-10-30,Pune,Active,7.17,True,2021-04-24,Low
ACC00057,CUST0190,Loan,497325,INR,2021-09-23,Pune,Closed,7.98,False,2024-09-18,Low
ACC00058,CUST0141,Current,122207,INR,2022-03-13,Pune,Closed,6.99,False,2021-10-06,Low
ACC00059,CUST0202,Current,194946,INR,2020-03-12,Mumbai,Active,3.52,False,2024-08-28,High
ACC00060,CUST0001,Current,20408,INR,2022-04-08,Pune,Active,7.99,True,2024-11-21,High
ACC00061,CUST0086,Loan,69659,INR,2024-09-28,Mumbai,Closed,4.87,False,2022-04-22,Low
ACC00062,CUST0070,Current,312791,INR,2022-07-29,Pune,Active,5.76,True,2021-07-12,Low
ACC00063,CUST0052,Current,290562,INR,2023-03-20,Pune,Closed,7.87,True,2023-09-14,Low
ACC00064,CUST0075,Current,438115,INR,2024-05-26,Mumbai,Closed,5.93,True,2021-01-30,Low
ACC00065,CUST0048,Savings,440437,INR,2023-12-22,Pune,Closed,3.32,True,2020-05-15,Medium
ACC00066,CUST0077,Loan,223414,INR,2020-02-27,Mumbai,Active,6.23,True,2021-08-08,Medium
ACC00067,CUST0157,Loan,12510,INR,2023-03-03,Mumbai,Active,6.42,True,2022-10-10,Medium
ACC00068,CUST0073,Current,272797,INR,2024-01-08,Mumbai,Active,4.41,False,2023-01-28,Medium
ACC00069,CUST0007,Current,23829,INR,2022-04-02,Pune,Active,3.87,False,2021-07-02,Medium
ACC00070,CUST0174,Savings,191210,INR,2022-06-28,Delhi,Closed,6.59,True,2023-07-16,High
ACC00071,CUST0099,Loan,119622,INR,2022-08-08,Mumbai,Active,7.61,False,2023-04-02,Medium
ACC00072,CUST0202,Savings,205118,INR,2023-10-01,Delhi,Closed,4.95,False,2021-06-26,Low
ACC00073,CUST0021,Savings,71473,INR,2021-02-09,Pune,Closed,3.92,False,2024-02-16,High
ACC00074,CUST0099,Loan,73272,INR,2024-04-06,Pune,Active,3.68,False,2022-05-28,High
ACC00075,CUST0109,Loan,479268,INR,2020-04-17,Delhi,Active,8.31,False,2023-08-11,Medium
ACC00076,CUST0213,Loan,65494,INR,2023-04-04,Delhi,Active,3.34,True,2022-08-18,Low
ACC00077,CUST0100,Savings,377310,INR,2020-01-27,Pune,Active,4.69,True,2023-03-17,Medium
ACC00078,CUST0049,Loan,256924,INR,2022-07-30,Delhi,Closed,8.22,False,2021-04-05,Medium
ACC00079,CUST0044,Current,315166,INR,2022-08-16,Delhi,Closed,3.42,False,2023-08-28,Low
ACC00080,CUST0049,Savings,272242,INR,2021-05-28,Mumbai,Closed,7.74,False,2023-04-10,Low
ACC00081,CUST0195,Savings,185549,INR,2022-02-13,Delhi,Closed,5.96,False,2023-09-14,High
ACC00082,CUST0144,Current,125197,INR,2021-03-22,Pune,Closed,3.14,True,2022-11-09,High
ACC00083,CUST0194,Current,401610,INR,2020-09-16,Delhi,Active,6.99,False,2023-06-20,Medium
ACC00084,CUST0200,Savings,116001,INR,2022-03-09,Mumbai,Closed,6.87,True,2020-08-18,High
ACC00085,CUST0083,Current,453080,INR,2020-02-08,Pune,Active,6.47,False,2021-06-04,Low
ACC00086,CUST0145,Loan,430887,INR,2023-03-29,Delhi,Active,6.53,False,2023-12-19,High
ACC00087,CUST0045,Current,71993,INR,2022-07-17,Pune,Closed,3.17,False,2021-10-11,Low
ACC00088,CUST0209,Loan,334232,INR,2023-03-08,Mumbai,Closed,5.9,False,2022-05-01,Medium
ACC00089,CUST0054,Loan,217046,INR,2020-08-27,Delhi,Active,8.4,False,2020-08-07,High
ACC00090,CUST0049,Loan,247367,INR,2024-08-21,Pune,Active,8.47,False,2021-03-11,Low
ACC00091,CUST0209,Current,450045,INR,2022-11-26,Mumbai,Closed,6.14,False,2020-02-16,High
ACC00092,CUST0002,Savings,310554,INR,2023-01-17,Delhi,Closed,8.21,True,2020-05-03,Medium
ACC00093,CUST0058,Current,153603,INR,2021-01-01,Pune,Closed,7.01,False,2022-04-30,Medium
ACC00094,CUST0007,Loan,13026,INR,2021-11-02,Delhi,Closed,5.0,False,2023-07-19,Medium
ACC00095,CUST0028,Loan,395129,INR,2021-06-18,Mumbai,Closed,7.11,True,2024-06-11,Medium
ACC00096,CUST0051,Loan,460097,INR,2021-03-06,Delhi,Active,6.56,False,2021-04-18,Low
ACC00097,CUST0128,Loan,336423,INR,2023-03-07,Delhi,Closed,6.22,True,2021-07-13,Medium
ACC00098,CUST0013,Savings,270550,INR,2024-05-03,Delhi,Closed,4.22,False,2023-05-29,Medium
ACC00099,CUST0111,Savings,309191,INR,2020-08-08,Pune,Active,4.67,True,2022-02-18,High
ACC00100,CUST0152,Current,273715,INR,2023-05-22,Mumbai,Closed,3.26,True,2022-06-28,Medium
ACC00101,CUST0139,Loan,244142,INR,2020-03-23,Pune,Closed,7.84,False,2021-05-13,Medium
ACC00102,CUST0137,Savings,174624,INR,2022-04-27,Delhi,Closed,7.8,False,2024-02-16,Medium
ACC00103,CUST0132,Loan,148486,INR,2021-05-12,Mumbai,Closed,6.88,True,2020-11-17,High
ACC00104,CUST0197,Savings,51716,INR,2024-07-28,Delhi,Closed,5.07,True,2021-05-21,Low
ACC00105,CUST0062,Savings,331563,INR,2022-02-12,Pune,Active,3.06,True,2022-03-07,Low
ACC00106,CUST0048,Loan,250775,INR,2024-02-13,Delhi,Active,8.16,True,2024-03-15,Medium
ACC00107,CUST0220,Loan,32503,INR,2020-06-13,Pune,Closed,3.25,True,2020-07-07,Low
ACC00108,CUST0215,Loan,135455,INR,2024-01-07,Delhi,Closed,6.34,False,2024-12-15,Low
ACC00109,CUST0181,Loan,151222,INR,2021-03-15,Pune,Closed,6.7,True,2020-02-26,Medium
ACC00110,CUST0098,Savings,115134,INR,2021-12-02,Delhi,Active,5.31,False,2024-01-27,Low
ACC00111,CUST0202,Savings,314801,INR,2023-09-12,Delhi,Active,5.12,True,2021-11-24,Low
ACC00112,CUST0083,Current,282381,INR,2023-11-30,Delhi,Closed,3.26,False,2022-09-12,Low
ACC00113,CUST0153,Savings,326966,INR,2022-09-19,Delhi,Closed,4.76,True,2023-12-05,Medium
ACC00114,CUST0174,Current,285956,INR,2023-11-10,Mumbai,Closed,5.08,False,2023-08-16,High
ACC00115,CUST0183,Savings,80713,INR,2021-12-05,Delhi,Active,7.18,True,2022-08-21,High
ACC00116,CUST0210,Savings,384455,INR,2024-04-11,Mumbai,Closed,5.14,True,2020-04-03,High
ACC00117,CUST0204,Savings,195918,INR,2024-12-05,Mumbai,Active,3.57,False,2022-11-16,High
ACC00118,CUST0192,Current,199296,INR,2022-03-24,Delhi,Active,8.41,False,2022-07-23,Medium
ACC00119,CUST0175,Savings,93799,INR,2024-01-01,Delhi,Active,4.58,True,2024-02-10,Medium
ACC00120,CUST0195,Current,43071,INR,2024-10-12,Delhi,Active,7.32,False,2023-08-20,Low
ACC00121,CUST0037,Current,246323,INR,2022-06-27,Mumbai,Closed,4.24,True,2024-11-03,Low
ACC00122,CUST0142,Current,294679,INR,2021-01-10,Delhi,Active,6.65,False,2020-10-21,Medium
ACC00123,CUST0017,Current,141288,INR,2024-04-26,Mumbai,Closed,7.31,True,2022-06-22,Low
ACC00124,CUST0186,Savings,493726,INR,2022-06-01,Pune,Closed,7.63,True,2021-10-30,Low
ACC00125,CUST0049,Loan,419377,INR,2021-04-08,Pune,Closed,6.11,True,2023-08-08,Low
ACC00126,CUST0190,Loan,239051,INR,2020-10-23,Delhi,Closed,7.7,True,2020-10-17,High
ACC00127,CUST0157,Loan,218885,INR,2021-12-03,Pune,Active,5.52,False,2023-07-25,High
ACC00128,CUST0087,Loan,295851,INR,2022-07-30,Pune,Closed,8.24,True,2023-11-21,Medium
ACC00129,CUST0048,Current,405266,INR,2024-01-16,Delhi,Closed,3.21,True,2021-11-03,Low
ACC00130,CUST0092,Savings,69288,INR,2021-06-18,Delhi,Active,4.57,True,2023-02-17,High
ACC00131,CUST0106,Savings,483407,INR,2022-04-15,Delhi,Active,5.62,False,2022-07-09,Medium
ACC00132,CUST0052,Current,98253,INR,2022-04-21,Delhi,Closed,7.91,True,2022-10-19,Low
ACC00133,CUST0092,Savings,4853,INR,2022-04-22,Mumbai,Active,3.69,False,2024-07-08,High
ACC00134,CUST0192,Current,385237,INR,2022-08-25,Mumbai,Active,7.42,False,2024-05-24,Medium
ACC00135,CUST0112,Loan,8713,INR,2022-05-21,Delhi,Closed,5.35,False,2020-06-15,Medium
ACC00136,CUST0136,Savings,390451,INR,2021-05-16,Pune,Active,8.2,False,2021-11-28,High
ACC00137,CUST0071,Loan,66922,INR,2023-08-03,Delhi,Active,6.48,True,2022-12-22,Low
ACC00138,CUST0219,Savings,337951,INR,2024-11-04,Pune,Active,6.66,True,2023-10-27,Low
ACC00139,CUST0114,Loan,124956,INR,2024-09-05,Pune,Active,3.62,True,2024-02-17,Medium
ACC00140,CUST0080,Current,394908,INR,2022-12-30,Delhi,Closed,8.36,True,2022-08-27,Low
ACC00141,CUST0089,Savings,402057,INR,2024-07-15,Mumbai,Closed,4.28,False,2021-01-27,Medium
ACC00142,CUST0210,Current,290675,INR,2022-05-04,Delhi,Active,6.98,False,2021-02-13,High
ACC00143,CUST0190,Current,292287,INR,2024-02-18,Mumbai,Active,6.37,False,2021-10-29,Medium
ACC00144,CUST0108,Current,11897,INR,2022-10-17,Mumbai,Active,5.02,True,2022-05-24,Low
ACC00145,CUST0145,Current,359972,INR,2024-11-14,Delhi,Active,5.63,True,2020-04-29,Low
ACC00146,CUST0155,Savings,254463,INR,2020-02-07,Mumbai,Active,7.97,True,2022-04-13,High
ACC00147,CUST0096,Loan,129039,INR,2020-09-17,Delhi,Closed,6.55,False,2022-07-05,Medium
ACC00148,CUST0191,Savings,246878,INR,2022-11-10,Mumbai,Closed,8.26,True,2020-07-30,Medium
ACC00149,CUST0109,Savings,330021,INR,2021-08-04,Pune,Closed,5.69,False,2023-02-10,High
ACC00150,CUST0052,Savings,4354,INR,2020-02-11,Mumbai,Active,7.74,False,2020-08-01,Medium
ACC00151,CUST0148,Savings,420410,INR,2020-04-17,Pune,Closed,4.87,True,2021-02-02,Low
ACC00152,CUST0171,Savings,162925,INR,2021-01-11,Mumbai,Closed,4.76,True,2022-07-06,Medium
ACC00153,CUST0147,Savings,59144,INR,2024-08-04,Mumbai,Active,6.78,False,2020-05-23,High
ACC00154,CUST0125,Current,375693,INR,2021-05-07,Pune,Closed,4.52,True,2020-01-10,Medium
ACC00155,CUST0057,Savings,367870,INR,2021-10-23,Delhi,Closed,5.17,True,2020-08-13,Low
ACC00156,CUST0186,Current,113372,INR,2024-03-31,Delhi,Active,4.06,True,2021-01-22,Low
ACC00157,CUST0208,Current,27779,INR,2022-11-05,Mumbai,Closed,6.0,False,2024-02-17,Low
ACC00158,CUST0059,Current,240723,INR,2020-01-09,Pune,Active,6.95,False,2021-11-05,Medium
ACC00159,CUST0182,Loan,356239,INR,2024-03-02,Pune,Closed,3.43,True,2022-11-26,Medium
ACC00160,CUST0105,Loan,129389,INR,2022-09-01,Mumbai,Active,7.85,True,2022-04-30,Low
ACC00161,CUST0098,Current,22387,INR,2020-01-29,Delhi,Closed,8.09,True,2023-12-10,Medium
ACC00162,CUST0068,Savings,120601,INR,2020-12-20,Mumbai,Closed,6.21,True,2024-10-15,Medium
ACC00163,CUST0183,Current,478094,INR,2020-12-21,Delhi,Closed,5.37,False,2021-04-28,Medium
ACC00164,CUST0002,Loan,373832,INR,2022-10-05,Pune,Closed,3.7,False,2020-08-07,Medium
ACC00165,CUST0019,Current,331026,INR,2023-11-26,Pune,Active,8.34,False,2024-07-26,Medium
ACC00166,CUST0136,Loan,435360,INR,2023-09-11,Mumbai,Active,4.49,False,2022-12-24,Medium
ACC00167,CUST0198,Savings,314971,INR,2023-09-19,Delhi,Active,5.9,True,2021-02-23,High
ACC00168,CUST0052,Savings,116426,INR,2022-05-15,Pune,Active,5.13,True,2023-02-13,Low
ACC00169,CUST0061,Savings,137735,INR,2023-08-07,Delhi,Active,7.94,True,2021-12-08,Low
ACC00170,CUST0018,Current,85354,INR,2020-12-14,Pune,Closed,5.99,True,2023-01-30,Medium
ACC00171,CUST0121,Loan,446511,INR,2021-08-03,Delhi,Active,6.86,True,2022-08-16,High
ACC00172,CUST0148,Current,384223,INR,2023-12-28,Delhi,Closed,8.43,False,2022-03-02,High
ACC00173,CUST0041,Loan,247927,INR,2021-03-28,Pune,Closed,6.15,True,2021-08-14,Low
ACC00174,CUST0096,Current,227530,INR,2024-12-19,Pune,Active,7.21,False,2024-11-28,Low
ACC00175,CUST0038,Current,118649,INR,2020-11-26,Mumbai,Active,7.78,True,2023-09-16,High
ACC00176,CUST0180,Loan,382318,INR,2023-10-03,Pune,Active,3.19,False,2024-09-14,Medium
ACC00177,CUST0104,Current,432167,INR,2022-11-02,Mumbai,Active,6.43,False,2022-06-05,High
ACC00178,CUST0159,Loan,61868,INR,2024-05-07,Mumbai,Active,6.36,False,2023-01-22,Medium
ACC00179,CUST0183,Current,108539,INR,2022-06-27,Mumbai,Active,4.46,False,2023-08-12,Low
ACC00180,CUST0180,Current,365261,INR,2020-12-01,Mumbai,Active,4.0,True,2023-10-10,Low
ACC00181,CUST0129,Current,353684,INR,2023-12-25,Mumbai,Closed,5.46,True,2023-12-13,Low
ACC00182,CUST0061,Loan,61641,INR,2022-03-17,Delhi,Active,5.39,False,2024-07-04,Medium
ACC00183,CUST0114,Current,315971,INR,2020-02-26,Mumbai,Active,7.6,False,2024-09-11,Low
ACC00184,CUST0082,Savings,24291,INR,2021-03-26,Pune,Closed,7.36,True,2024-12-09,Low
ACC00185,CUST0105,Savings,499535,INR,2024-04-07,Mumbai,Active,5.75,False,2021-10-21,High
ACC00186,CUST0065,Current,81895,INR,2020-03-08,Pune,Active,7.22,False,2020-10-03,Medium
ACC00187,CUST0038,Savings,239701,INR,2021-09-28,Delhi,Closed,7.52,False,2022-12-27,High
ACC00188,CUST0069,Current,145492,INR,2023-03-25,Pune,Active,6.4,False,2023-01-08,Low
ACC00189,CUST0117,Current,14904,INR,2023-09-05,Delhi,Closed,6.45,True,2022-04-25,High
ACC00190,CUST0166,Current,444426,INR,2023-12-29,Mumbai,Active,3.28,False,2023-09-20,Low
ACC00191,CUST0006,Savings,90525,INR,2023-05-14,Pune,Active,4.01,False,2022-03-09,High
ACC00192,CUST0069,Savings,387943,INR,2020-06-03,Pune,Active,6.25,False,2022-06-23,Medium
ACC00193,CUST0050,Current,292415,INR,2022-08-04,Pune,Closed,5.51,False,2023-05-04,Low
ACC00194,CUST0135,Savings,265237,INR,2020-05-19,Pune,Closed,7.77,True,2024-04-20,Medium
ACC00195,CUST0214,Savings,388414,INR,2023-06-14,Pune,Active,7.82,True,2022-12-02,Medium
ACC00196,CUST0218,Current,424998,INR,2020-04-27,Pune,Closed,4.29,False,2024-12-24,Medium
ACC00197,CUST0179,Savings,435488,INR,2023-03-10,Delhi,Active,7.55,True,2020-01-17,High
ACC00198,CUST0174,Loan,259382,INR,2022-10-16,Mumbai,Active,7.32,False,2024-11-03,Medium
ACC00199,CUST0104,Current,51556,INR,2023-11-05,Pune,Active,8.03,True,2020-11-21,Low
ACC00200,CUST0087,Current,129839,INR,2020-06-01,Pune,Active,7.43,False,2022-10-06,Medium
ACC00201,CUST0041,Loan,472603,INR,2024-11-15,Mumbai,Active,7.2,False,2021-04-13,High
ACC00202,CUST0136,Savings,436268,INR,2020-03-20,Delhi,Active,6.0,True,2020-12-08,Low
ACC00203,CUST0023,Loan,378231,INR,2021-11-06,Pune,Active,6.05,True,2023-06-26,Medium
ACC00204,CUST0124,Current,307705,INR,2022-10-21,Delhi,Active,6.03,False,2023-08-03,High
ACC00205,CUST0082,Current,472950,INR,2021-01-18,Delhi,Active,3.6,True,2020-02-12,Medium
ACC00206,CUST0050,Loan,263979,INR,2023-03-22,Delhi,Closed,8.15,False,2023-12-04,Medium
ACC00207,CUST0177,Savings,393994,INR,2021-08-25,Mumbai,Active,3.94,False,2022-01-04,Low
ACC00208,CUST0100,Current,376329,INR,2023-01-01,Pune,Active,5.15,False,2020-04-19,High
ACC00209,CUST0169,Current,477096,INR,2021-08-30,Mumbai,Closed,7.56,True,2023-04-01,Low
ACC00210,CUST0220,Savings,104635,INR,2022-02-06,Pune,Closed,6.65,False,2022-06-10,Low
ACC00211,CUST0045,Savings,313925,INR,2020-03-08,Pune,Active,6.04,True,2023-10-10,High
ACC00212,CUST0058,Savings,165884,INR,2022-12-07,Mumbai,Active,6.27,False,2021-04-24,High
ACC00213,CUST0166,Loan,413382,INR,2020-05-09,Pune,Active,4.06,True,2021-01-25,Medium
ACC00214,CUST0196,Current,124013,INR,2020-07-12,Delhi,Active,3.48,False,2020-04-25,Low
ACC00215,CUST0095,Current,472104,INR,2023-05-26,Mumbai,Active,3.3,True,2024-01-27,High
ACC00216,CUST0053,Savings,74770,INR,2020-12-04,Mumbai,Active,8.47,True,2021-05-20,Low
ACC00217,CUST0072,Savings,18604,INR,2022-05-14,Delhi,Active,4.03,False,2022-02-18,High
ACC00218,CUST0067,Loan,245153,INR,2020-05-01,Delhi,Closed,8.2,True,2024-04-22,Low
ACC00219,CUST0052,Current,325196,INR,2024-07-12,Pune,Active,7.98,False,2023-11-29,Low
ACC00220,CUST0169,Loan,493810,INR,2021-12-03,Mumbai,Active,6.52,True,2023-05-21,Medium
